epoch,train_loss_mean,train_loss_sd,val_loss_mean,val_loss_sd,train_acc_mean,train_acc_sd,val_acc_mean,val_acc_sd
1,0.04728,0.001173,0.813885,0.055636,0.294203,0.027913,0.163257,0.058147
2,0.042412,0.002228,0.798165,0.046967,0.321987,0.038966,0.248761,0.079308
3,0.03939,0.002685,0.773521,0.048298,0.414779,0.077156,0.351082,0.083615
4,0.036956,0.002068,0.764705,0.075155,0.501134,0.07502,0.410086,0.11604
5,0.034167,0.00236,0.754515,0.106993,0.583259,0.063534,0.461189,0.145742
6,0.032578,0.002318,0.690995,0.079427,0.63548,0.051684,0.57358,0.118803
7,0.030803,0.002137,0.704461,0.097154,0.67312,0.058145,0.550162,0.130865
8,0.029146,0.002791,0.669526,0.049522,0.70004,0.058066,0.606829,0.072208
9,0.027681,0.002804,0.648326,0.099913,0.7389,0.037189,0.627477,0.117705
10,0.025914,0.001978,0.607387,0.096056,0.755824,0.037697,0.687271,0.11954
11,0.025422,0.003633,0.610712,0.114072,0.781331,0.05123,0.678693,0.114931
12,0.024778,0.002762,0.591737,0.099929,0.789354,0.030289,0.694495,0.095097
13,0.022947,0.001807,0.574451,0.12342,0.806171,0.034229,0.712798,0.119758
14,0.022301,0.003759,0.546888,0.128139,0.804977,0.042433,0.740573,0.111996
15,0.021829,0.002625,0.527891,0.119815,0.82626,0.034609,0.753524,0.101678
16,0.021316,0.002941,0.545947,0.096584,0.830466,0.037121,0.729576,0.081676
17,0.020897,0.002766,0.52709,0.094126,0.827318,0.043821,0.755844,0.074826
18,0.019968,0.003435,0.514583,0.099135,0.84783,0.033256,0.759453,0.076104
19,0.019929,0.002469,0.511436,0.110105,0.846922,0.038,0.76555,0.084696
20,0.01881,0.001775,0.478413,0.089228,0.855524,0.019959,0.795359,0.059771
21,0.020254,0.002829,0.492485,0.097403,0.847661,0.021907,0.774562,0.070716
22,0.018022,0.001993,0.496225,0.111888,0.868411,0.02121,0.781405,0.075966
23,0.017342,0.001812,0.467083,0.096782,0.873903,0.02793,0.798277,0.062028
24,0.018733,0.003071,0.477559,0.116226,0.864984,0.032685,0.789719,0.075666
25,0.018171,0.003483,0.489848,0.097621,0.867134,0.038125,0.774597,0.061637
26,0.017778,0.001611,0.470135,0.126668,0.869201,0.020019,0.800132,0.084861
27,0.016985,0.002571,0.482177,0.104853,0.874683,0.029821,0.788757,0.064502
28,0.016611,0.002179,0.459636,0.114532,0.881503,0.023289,0.811425,0.073261
29,0.017893,0.001118,0.469468,0.09971,0.876691,0.011055,0.797017,0.061916
30,0.017723,0.002562,0.45931,0.11557,0.87175,0.020303,0.807767,0.074478
31,0.018455,0.002892,0.460597,0.102263,0.875022,0.026188,0.80383,0.065737
32,0.017619,0.001765,0.46351,0.096228,0.874336,0.023533,0.8026,0.061364
33,0.016341,0.003052,0.459879,0.108981,0.873735,0.024851,0.805217,0.069806
34,0.016186,0.002412,0.411784,0.0586,0.877354,0.029607,0.835457,0.040502
35,0.017265,0.003377,0.397381,0.044072,0.869962,0.026615,0.845122,0.029135
36,0.016607,0.001683,0.394876,0.043988,0.869152,0.020315,0.847357,0.025026
37,0.016091,0.003809,0.368955,0.025327,0.867707,0.038225,0.859753,0.026761
38,0.015229,0.002476,0.36633,0.024995,0.877005,0.029802,0.861592,0.029361
39,0.014242,,0.348426,,0.902256,,0.882353,
40,0.013717,,0.348423,,0.893066,,0.882353,
