bin_lower,bin_upper,bin_mid,n_samples,acc_calib,conf_calib,diagonal,gap_calib,acc_uncal,conf_uncal
0.0,0.1,0.05,459,0.021786,0.038513,0.05,-0.016727,0.012987,0.076731
0.1,0.2,0.15,215,0.046512,0.142956,0.15,-0.096445,0.016807,0.146405
0.2,0.3,0.25,176,0.034091,0.247395,0.25,-0.213305,0.060606,0.248123
0.3,0.4,0.35,165,0.090909,0.352886,0.35,-0.261977,0.060606,0.347936
0.4,0.5,0.45,113,0.053097,0.446859,0.45,-0.393762,0.070968,0.446293
0.5,0.6,0.55,88,0.079545,0.552932,0.55,-0.473386,0.145631,0.551224
0.6,0.7,0.65,65,0.246154,0.649272,0.65,-0.403118,0.236111,0.649025
0.7,0.8,0.75,65,0.323077,0.753024,0.75,-0.429947,0.405405,0.753609
0.8,0.9,0.85,63,0.444444,0.850601,0.85,-0.406157,0.513889,0.843702
0.9,1.0,0.95,60,0.716667,0.941979,0.95,-0.225312,0.8,0.932055
